date,value,target
29.12.2021 19:15,47304.11,0
29.12.2021 19:00,47533.78,0
29.12.2021 18:45,47551.74,0
29.12.2021 18:30,47637.11,1
29.12.2021 18:15,47616.44,1
29.12.2021 18:00,47573.01,0
29.12.2021 17:45,47681.42,1
29.12.2021 17:30,47644.00,0
29.12.2021 17:15,47700.62,1
29.12.2021 17:00,47668.89,0
29.12.2021 16:45,47684.67,1
29.12.2021 16:30,47672.01,0
29.12.2021 16:15,47806.50,0
29.12.2021 16:00,47947.92,1
29.12.2021 15:45,47895.64,1
29.12.2021 15:30,47764.06,1
29.12.2021 15:15,47758.83,0
29.12.2021 15:00,47781.90,1
29.12.2021 14:45,47691.73,1
29.12.2021 14:30,47338.76,0
29.12.2021 14:15,47384.27,1
29.12.2021 14:00,47341.27,1
29.12.2021 13:45,46926.75,1
29.12.2021 13:30,46736.27,0
29.12.2021 13:15,46872.58,1
29.12.2021 13:00,46840.41,0
29.12.2021 12:45,46924.19,1
29.12.2021 12:30,46757.79,0
29.12.2021 12:15,46961.35,0
29.12.2021 12:00,47734.29,1
29.12.2021 11:45,47641.27,1
29.12.2021 11:30,47597.33,0
29.12.2021 11:15,47668.33,0
29.12.2021 11:00,47741.95,1
29.12.2021 10:45,47719.94,0
29.12.2021 10:30,47875.61,0
29.12.2021 10:15,47889.52,1
29.12.2021 10:00,47885.72,1
29.12.2021 09:45,47627.12,1
29.12.2021 09:30,47529.51,0
29.12.2021 09:15,47670.72,0
29.12.2021 09:00,47680.00,0
29.12.2021 08:45,47790.00,1
29.12.2021 08:30,47643.59,0
29.12.2021 08:15,47692.41,1
29.12.2021 08:00,47607.00,0
29.12.2021 07:45,47609.37,1
29.12.2021 07:30,47608.99,0
29.12.2021 07:15,47679.01,0
29.12.2021 07:00,47803.39,0
29.12.2021 06:45,47812.63,0
29.12.2021 06:30,47870.24,0
29.12.2021 06:15,47964.90,1
29.12.2021 06:00,47868.24,1
29.12.2021 05:45,47796.20,0
29.12.2021 05:30,47832.38,0
29.12.2021 05:15,47850.01,1
29.12.2021 05:00,47764.82,0
29.12.2021 04:45,47861.46,1
29.12.2021 04:30,47860.01,0
29.12.2021 04:15,47919.70,0
29.12.2021 04:00,47995.96,1
29.12.2021 03:45,47963.71,1
29.12.2021 03:30,47902.01,0
29.12.2021 03:15,48057.99,1
29.12.2021 03:00,47938.16,1
29.12.2021 02:45,47917.89,1
29.12.2021 02:30,47861.47,0
29.12.2021 02:15,47867.73,1
29.12.2021 02:00,47677.97,0
29.12.2021 01:45,47814.80,0
29.12.2021 01:30,47818.87,0
29.12.2021 01:15,47859.06,1
29.12.2021 01:00,47752.48,1
29.12.2021 00:45,47625.50,0
29.12.2021 00:30,47695.54,0
29.12.2021 00:15,47739.35,1
29.12.2021 00:00,47577.50,0
28.12.2021 23:45,47680.82,0
28.12.2021 23:30,47747.91,1
28.12.2021 23:15,47633.05,0
28.12.2021 23:00,47657.99,1
28.12.2021 22:45,47511.15,1
28.12.2021 22:30,47465.99,0
28.12.2021 22:15,47539.81,0
28.12.2021 22:00,47575.98,0
28.12.2021 21:45,47650.54,0
28.12.2021 21:30,47767.80,1
28.12.2021 21:15,47757.87,1
28.12.2021 21:00,47704.32,0
28.12.2021 20:45,47943.28,1
28.12.2021 20:30,47759.66,1
28.12.2021 20:15,47756.47,1
28.12.2021 20:00,47651.81,1
28.12.2021 19:45,47645.08,1
28.12.2021 19:30,47488.47,0
28.12.2021 19:15,47513.08,0
28.12.2021 19:00,47730.93,0
28.12.2021 18:45,47816.72,0
28.12.2021 18:30,47894.90,1
28.12.2021 18:15,47893.61,0
28.12.2021 18:00,47915.14,1
28.12.2021 17:45,47909.45,0
28.12.2021 17:30,48100.00,0
28.12.2021 17:15,48346.78,0
28.12.2021 17:00,48567.29,1
28.12.2021 16:45,48461.00,1
28.12.2021 16:30,48358.39,0
28.12.2021 16:15,48576.86,0
28.12.2021 16:00,48952.11,1
28.12.2021 15:45,48927.35,0
28.12.2021 15:30,49066.90,1
28.12.2021 15:15,48992.87,0
28.12.2021 15:00,49123.57,1
28.12.2021 14:45,49107.15,1
28.12.2021 14:30,48982.56,1
28.12.2021 14:15,48980.65,0
28.12.2021 14:00,49040.01,0
28.12.2021 13:45,49228.48,1
28.12.2021 13:30,49141.16,1
28.12.2021 13:15,49064.96,0
28.12.2021 13:00,49096.93,0
28.12.2021 12:45,49193.98,0
28.12.2021 12:30,49245.84,1
28.12.2021 12:15,49210.00,1
28.12.2021 12:00,49132.47,0
28.12.2021 11:45,49148.99,1
28.12.2021 11:30,49131.72,1
28.12.2021 11:15,48985.41,0
28.12.2021 11:00,49026.53,1
28.12.2021 10:45,48999.20,0
28.12.2021 10:30,49065.00,1
28.12.2021 10:15,48956.58,0
28.12.2021 10:00,49086.80,0
28.12.2021 09:45,49190.36,0
28.12.2021 09:30,49283.91,0
28.12.2021 09:15,49301.01,0
28.12.2021 09:00,49348.62,0
28.12.2021 08:45,49361.38,0
28.12.2021 08:30,49390.73,1
28.12.2021 08:15,49389.98,1
28.12.2021 08:00,49174.35,1
28.12.2021 07:45,49150.00,1
28.12.2021 07:30,49143.88,0
28.12.2021 07:15,49270.07,1
28.12.2021 07:00,49152.21,0
28.12.2021 06:45,49255.93,0
28.12.2021 06:30,49288.42,1
28.12.2021 06:15,49181.74,0
28.12.2021 06:00,49208.96,1
28.12.2021 05:45,49151.62,1
28.12.2021 05:30,48991.31,0
28.12.2021 05:15,49096.09,1
28.12.2021 05:00,49057.57,0
28.12.2021 04:45,49060.00,1
28.12.2021 04:30,48973.06,0
28.12.2021 04:15,49583.66,0
28.12.2021 04:00,49745.38,1
28.12.2021 03:45,49643.74,0
28.12.2021 03:30,49649.04,1
28.12.2021 03:15,49563.88,0
28.12.2021 03:00,49682.70,0
28.12.2021 02:45,49730.00,0
28.12.2021 02:30,49768.15,1
28.12.2021 02:15,49736.01,0
28.12.2021 02:00,49742.02,1
28.12.2021 01:45,49696.99,0
28.12.2021 01:30,50110.67,1
28.12.2021 01:15,50088.60,0
28.12.2021 01:00,50290.17,1
28.12.2021 00:45,50257.51,0
28.12.2021 00:30,50288.72,0
28.12.2021 00:15,50430.49,0
28.12.2021 00:00,50653.16,0
27.12.2021 23:45,50790.05,0
27.12.2021 23:30,50834.52,0
27.12.2021 23:15,51004.67,1
27.12.2021 23:00,51000.00,1
27.12.2021 22:45,50795.63,0
27.12.2021 22:30,51134.26,0
27.12.2021 22:15,51140.51,1
27.12.2021 22:00,51041.88,0
27.12.2021 21:45,51124.00,0
27.12.2021 21:30,51273.39,1
27.12.2021 21:15,51132.85,0
27.12.2021 21:00,51218.65,1
27.12.2021 20:45,51034.78,0
27.12.2021 20:30,51178.81,0
27.12.2021 20:15,51277.94,1
27.12.2021 20:00,51255.81,0
27.12.2021 19:45,51478.55,1
27.12.2021 19:30,51464.94,0
27.12.2021 19:15,51609.15,0
27.12.2021 19:00,51668.16,1
27.12.2021 18:45,51660.15,0
27.12.2021 18:30,51724.59,0
27.12.2021 18:15,51762.60,0
27.12.2021 18:00,51878.62,1
27.12.2021 17:45,51878.58,1
27.12.2021 17:30,51812.00,1
27.12.2021 17:15,51570.54,1
27.12.2021 17:00,51471.09,1
27.12.2021 16:45,51445.00,1
27.12.2021 16:30,51367.46,1
27.12.2021 16:15,51356.08,0
27.12.2021 16:00,51464.70,1
27.12.2021 15:45,51386.50,0
27.12.2021 15:30,51487.03,0
27.12.2021 15:15,51537.40,0
27.12.2021 15:00,51541.66,0
27.12.2021 14:45,51653.36,1
27.12.2021 14:30,51258.43,0
27.12.2021 14:15,51348.19,1
27.12.2021 14:00,51338.19,1
27.12.2021 13:45,51210.87,0
27.12.2021 13:30,51383.05,1
27.12.2021 13:15,51033.74,0
27.12.2021 13:00,51131.33,1
27.12.2021 12:45,51078.99,1
27.12.2021 12:30,50923.83,1
27.12.2021 12:15,50735.70,0
27.12.2021 12:00,50771.24,1
27.12.2021 11:45,50763.13,1
27.12.2021 11:30,50695.03,0
27.12.2021 11:15,50802.61,0
27.12.2021 11:00,50846.45,1
27.12.2021 10:45,50754.73,1
27.12.2021 10:30,50753.92,0
27.12.2021 10:15,50771.57,0
27.12.2021 10:00,50819.00,1
27.12.2021 09:45,50730.46,1
27.12.2021 09:30,50657.04,1
27.12.2021 09:15,50654.46,1
27.12.2021 09:00,50580.86,0
27.12.2021 08:45,50727.56,0
27.12.2021 08:30,50750.00,0
27.12.2021 08:15,50791.42,1
27.12.2021 08:00,50682.70,0
27.12.2021 07:45,50785.00,0
27.12.2021 07:30,50822.80,0
27.12.2021 07:15,50924.16,1
27.12.2021 07:00,50914.55,1
27.12.2021 06:45,50900.90,1
27.12.2021 06:30,50883.65,1
27.12.2021 06:15,50782.45,0
27.12.2021 06:00,50881.56,0
27.12.2021 05:45,50938.52,1
27.12.2021 05:30,50907.98,1
27.12.2021 05:15,50900.01,0
27.12.2021 05:00,50990.23,1
27.12.2021 04:45,50902.41,0
27.12.2021 04:30,50934.08,0
27.12.2021 04:15,50979.26,0
27.12.2021 04:00,51005.50,0
27.12.2021 03:45,51066.22,1
27.12.2021 03:30,51017.09,1
27.12.2021 03:15,50960.02,1
27.12.2021 03:00,50813.60,0
27.12.2021 02:45,50852.11,1
27.12.2021 02:30,50777.38,1
27.12.2021 02:15,50723.46,0
27.12.2021 02:00,50768.62,1
27.12.2021 01:45,50679.01,1
27.12.2021 01:30,50607.03,1
27.12.2021 01:15,50450.21,0
27.12.2021 01:00,50577.95,0
27.12.2021 00:45,50642.14,0
27.12.2021 00:30,50842.93,0
27.12.2021 00:15,50902.33,1
27.12.2021 00:00,50809.83,1
26.12.2021 23:45,50804.78,1
26.12.2021 23:30,50738.27,0
26.12.2021 23:15,50802.22,0
26.12.2021 23:00,50918.33,0
26.12.2021 22:45,51046.54,1
26.12.2021 22:30,50875.67,1
26.12.2021 22:15,50816.14,0
26.12.2021 22:00,50860.01,1
26.12.2021 21:45,50774.01,1
26.12.2021 21:30,50416.97,1
26.12.2021 21:15,50086.87,0
26.12.2021 21:00,50210.68,0
26.12.2021 20:45,50316.52,1
